text,label
Concelho de Braga ultrapassa os 3.000 infetados com 101 novos casos em 24 horas https://t.co/J4TMe6X7nm #Covid 19 #EmDestaque #Saúde,TRUE
"@InPressOficina @MiguelNicolelis A cidade de SP que não chegou a ter um ""lockdown""  primeiro viu os casos acelera… https://t.co/Iq9JzVtB21",TRUE
@TaschnerNatalia @emeryfs @MarceloNLeite @leandrotessler @Lobo_Lele @mellziland @bollemdb @dogarrett @binerighetti… https://t.co/peqS8Mzccw,Fake
"Maia sugere restrições para quem não se vacinar contra coronavírus Presidente da Câmara também falou de pautas da á… https://t.co/57r4hcF4AM",TRUE
@TaschnerNatalia @parolin_ricardo @otavio_ranzani @mellziland @amoebozoa @MBittencourtMD @Virology_FAMERP A cidade… https://t.co/AABYtZzGDd,Fake
@TaschnerNatalia @leosbastos @Lobo_Lele @marivarella @ffdemarco @emeryfs @flavirginio @hfernandesbio… https://t.co/7HSGmhTdgE,Fake
"Fiocruz prevê vacinação até março do ano que vem Vacina contra a Covid 19 é parceria com Oxford e AstraZeneca… https://t.co/RVGAUYoSDE",TRUE
Vereadora da Cultura da Câmara de Braga também está em isolamento https://t.co/mlrFLRNuQC #Braga #Covid 19 #EmDestaque,TRUE
"A presidente da Fundação Oswaldo Cruz Nísia Trindade  afirmou que até março a vacina de Oxford deve ser aplicada n… https://t.co/OA93HD2o7K",TRUE
"Lá vou eu para o penúltimo exame de 10 feito um cachorrinho na janela do táxi mais caro com banco de plástico pra… https://t.co/tBBK5hhMCP",Fake
"Nossas orações e boas energias aos familiares e amigos dos mais de 12 milhão de mortos pela Covid 19 no mundo dos… https://t.co/rCKsCcPNGM",TRUE
"🦠 Actualização // 02 11 2020 🦠
😷 Casos confirmados: 146847 (+2506 que no dia anterior)
💪 Casos recuperados: 83294… https://t.co/csSQmu6tSG",TRUE
"Assim eram onte as terraças #Madrid com essa atitude indolente e arrogante q costumam ter por causa de 1 suposta s… https://t.co/PQUYn2QAll",Fake
Apenas 28% das crianças praticaram algum tipo de atividade física durante a pandemia. É o que indica uma pesquisa r… https://t.co/ZsfnI6pTut,TRUE
Expectativa é começar a produção da vacina de Oxford entre janeiro e fevereiro. #Covid,True
